plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728571,24779917
QUVI,Quercus virginiana,live oak,,NA,NA,NA,NA,NA,NA,17728571,24779918
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728571,24779919
CARYA,Carya,hickory,"Boisen, Newlin 1910  (150)",NA,NA,NA,NA,NA,NA,17728571,24779920
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728571,24779921
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,63,NA,NA,57,NA,17728571,24779922
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,66,NA,NA,86,NA,17728571,24779923
QUST,Quercus stellata,post oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728571,24779924
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,80,NA,NA,100,NA,17728573,24779925
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,90,NA,NA,129,NA,17728573,24779926
PIEC2,Pinus echinata,shortleaf pine,"Coile, Schumacher 1953 (530)",NA,80,NA,NA,129,NA,17728573,24779927
QUPH,Quercus phellos,willow oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728537,24779815
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728537,24779816
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728537,24779817
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,70,NA,NA,57,NA,17728537,24779818
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728537,24779819
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,87,NA,NA,129,NA,17728537,24779820
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,63,NA,NA,57,NA,17728540,24779821
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,66,NA,NA,86,NA,17728540,24779822
QUST,Quercus stellata,post oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728540,24779823
CARYA,Carya,hickory,"Boisen, Newlin 1910  (150)",NA,NA,NA,NA,NA,NA,17728540,24779824
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728540,24779825
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728540,24779826
QUVI,Quercus virginiana,live oak,,NA,NA,NA,NA,NA,NA,17728540,24779827
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728540,24779828
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728550,24779852
QULA2,Quercus laevis,turkey oak,,NA,NA,NA,NA,NA,NA,17728550,24779853
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,70,NA,NA,86,NA,17728550,24779854
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,85,NA,NA,114,NA,17728550,24779855
QUIN,Quercus incana,bluejack oak,,NA,NA,NA,NA,NA,NA,17728550,24779856
QUVI,Quercus virginiana,live oak,,NA,NA,NA,NA,NA,NA,17728550,24779857
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,NA,NA,NA,NA,NA,17728599,24779987
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,NA,NA,NA,NA,NA,17728599,24779988
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,84,NA,NA,129,NA,17728552,24779858
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,NA,NA,NA,NA,NA,17728552,24779859
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728552,24779860
CHTH2,Chamaecyparis thyoides,Atlantic white cedar,"Korstian, Brush 1931 (160)",NA,NA,NA,NA,NA,NA,17728552,24779861
TADI2,Taxodium distichum,baldcypress,Broadfoot 1960 (710),NA,NA,NA,NA,NA,NA,17728552,24779862
FRPE,Fraxinus pennsylvanica,green ash,"Broadfoot, Krinard 1959 (330)",NA,98,NA,NA,86,NA,17728552,24779863
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728552,24779864
NYSY,Nyssa sylvatica,blackgum,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728552,24779865
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728600,24779989
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728600,24779990
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,60,NA,NA,86,NA,17728600,24779991
NYBI,Nyssa biflora,swamp tupelo,Applequist 1959 (395),NA,NA,NA,NA,NA,NA,17728600,24779992
CHTH2,Chamaecyparis thyoides,Atlantic white cedar,"Korstian, Brush 1931 (160)",NA,NA,NA,NA,NA,NA,17728600,24779993
TADI2,Taxodium distichum,baldcypress,Broadfoot 1960 (710),NA,NA,NA,NA,NA,NA,17728600,24779994
LITU,Liriodendron tulipifera,yellow-poplar,Beck 1962 (350),NA,110,NA,NA,129,NA,17728601,24779995
QUPH,Quercus phellos,willow oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728601,24779996
TADI2,Taxodium distichum,baldcypress,Broadfoot 1960 (710),NA,NA,NA,NA,NA,NA,17728601,24779997
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,91,NA,NA,114,NA,17728601,24779998
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728601,24779999
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,NA,NA,NA,NA,NA,17728601,24780000
NYSY,Nyssa sylvatica,blackgum,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728601,24780001
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,91,NA,NA,129,NA,17728601,24780002
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728601,24780003
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728601,24780004
LITU,Liriodendron tulipifera,yellow poplar,,NA,NA,NA,NA,NA,NA,17728602,24780005
QUNI,Quercus nigra,water oak,,NA,NA,NA,NA,NA,NA,17728602,24780006
TADI2,Taxodium distichum,bald cypress,,NA,NA,NA,NA,NA,NA,17728602,24780007
ACRU,Acer rubrum,red maple,,NA,NA,NA,NA,NA,NA,17728602,24780008
NYSY,Nyssa sylvatica,blackgum,,NA,NA,NA,NA,NA,NA,17728602,24780009
PITA,Pinus taeda,loblolly pine,,NA,90,NA,NA,NA,NA,17728602,24780010
PISE,Pinus serotina,pond pine,,NA,NA,NA,NA,NA,NA,17728602,24780011
QUMI,Quercus michauxii,swamp chestnut oak,,NA,NA,NA,NA,NA,NA,17728602,24780012
LIST2,Liquidambar styraciflua,sweetgum,,NA,90,NA,NA,NA,NA,17728602,24780013
QUPH,Quercus phellos,willow oak,,NA,NA,NA,NA,NA,NA,17728602,24780014
TADI2,Taxodium distichum,baldcypress,Broadfoot 1960 (710),NA,NA,NA,NA,NA,NA,17728533,24779803
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728533,24779804
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,NA,NA,NA,NA,NA,17728533,24779805
PEBO,Persea borbonia,redbay,,NA,NA,NA,NA,NA,NA,17728533,24779806
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728533,24779807
MAVI2,Magnolia virginiana,sweetbay,,NA,NA,NA,NA,NA,NA,17728533,24779808
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728575,24779928
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,75,NA,NA,86,NA,17728575,24779929
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,90,NA,NA,129,NA,17728575,24779930
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728575,24779931
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728576,24779932
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,83,NA,NA,114,NA,17728576,24779933
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728576,24779934
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728576,24779935
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728576,24779936
LITU,Liriodendron tulipifera,yellow-poplar,Beck 1962 (350),NA,92,NA,NA,93,NA,17728603,24780015
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728603,24780016
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,90,NA,NA,106,NA,17728603,24780017
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,86,NA,NA,123,NA,17728603,24780018
NYSY,Nyssa sylvatica,blackgum,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728603,24780019
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728603,24780020
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728604,24780021
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728604,24780022
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,88,NA,NA,127,NA,17728604,24780023
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728604,24780024
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728604,24780025
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728604,24780026
LITU,Liriodendron tulipifera,yellow-poplar,Beck 1962 (350),NA,NA,NA,NA,NA,NA,17728604,24780027
LITU,Liriodendron tulipifera,yellow-poplar,Beck 1962 (350),NA,NA,NA,NA,NA,NA,17728605,24780028
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728605,24780029
NYSY,Nyssa sylvatica,blackgum,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728605,24780030
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,84,NA,NA,114,NA,17728605,24780031
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,77,NA,NA,100,NA,17728605,24780032
CARYA,Carya,hickory,"Boisen, Newlin 1910  (150)",NA,NA,NA,NA,NA,NA,17728605,24780033
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728605,24780034
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728555,24779874
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728555,24779875
LITU,Liriodendron tulipifera,yellow-poplar,Beck 1962 (350),NA,108,NA,NA,121,NA,17728555,24779876
TADI2,Taxodium distichum,baldcypress,Broadfoot 1960 (710),NA,NA,NA,NA,NA,NA,17728555,24779877
QUPH,Quercus phellos,willow oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728555,24779878
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728555,24779879
PLOC,Platanus occidentalis,American sycamore,"Briscoe, Ferrill 1958 (700)",NA,NA,NA,NA,NA,NA,17728555,24779880
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728556,24779881
NYSY,Nyssa sylvatica,blackgum,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728556,24779882
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,89,NA,NA,129,NA,17728556,24779883
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728556,24779884
LITU,Liriodendron tulipifera,yellow-poplar,Beck 1962 (350),NA,NA,NA,NA,NA,NA,17728556,24779885
QUPH,Quercus phellos,willow oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728556,24779886
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728556,24779887
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728556,24779888
PLOC,Platanus occidentalis,American sycamore,"Briscoe, Ferrill 1958 (700)",NA,NA,NA,NA,NA,NA,17728534,24779809
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,61,NA,NA,57,NA,17728534,24779810
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,88,NA,NA,129,NA,17728534,24779811
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728534,24779812
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728534,24779813
QUPH,Quercus phellos,willow oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728534,24779814
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,53,NA,NA,43,NA,17728582,24779951
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,64,NA,NA,86,NA,17728582,24779952
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728584,24779953
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,NA,NA,NA,NA,NA,17728584,24779954
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,70,NA,NA,86,NA,17728584,24779955
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,NA,NA,NA,NA,NA,17728584,24779956
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,70,NA,NA,86,NA,17728542,24779829
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,75,NA,NA,100,NA,17728542,24779830
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728543,24779831
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),NA,NA,NA,NA,NA,NA,17728543,24779832
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,70,NA,NA,86,NA,17728543,24779833
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,NA,NA,NA,NA,NA,17728543,24779834
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728553,24779866
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,94,NA,NA,143,NA,17728553,24779867
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728553,24779868
QUPH,Quercus phellos,willow oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728553,24779869
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728553,24779870
NYAQ2,Nyssa aquatica,water tupelo,Applequist 1959 (390),NA,NA,NA,NA,NA,NA,17728553,24779871
PISE,Pinus serotina,pond pine,"Schumacher, Coile 1960 (640)",NA,NA,NA,NA,NA,NA,17728553,24779872
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728553,24779873
LITU,Liriodendron tulipifera,yellow-poplar,Beck 1962 (350),NA,NA,NA,NA,NA,NA,17728607,24780041
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",NA,NA,NA,NA,NA,NA,17728607,24780042
QUAL,Quercus alba,white oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728607,24780043
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",NA,88,NA,NA,127,NA,17728607,24780044
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,NA,NA,NA,NA,NA,17728607,24780045
QUFA,Quercus falcata,southern red oak,Olson 1959 (810),NA,NA,NA,NA,NA,NA,17728607,24780046
QUNI,Quercus nigra,water oak,Broadfoot 1963 (860),NA,NA,NA,NA,NA,NA,17728607,24780047
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",94,94,94,143,143,143,17728608,24780048
LIST2,Liquidambar styraciflua,sweetgum,"Broadfoot, Krinard 1959 (330)",90,90,90,128.4,129.3,131,17728608,24780049
LIST2,Liquidambar styraciflua,sweetgum,Trenk 1929 (340),90,90,90,100,100,100,17728609,24780050
LITU,Liriodendron tulipifera,yellow-poplar,Beck 1962 (350),92,92,92,86,86,86,17728609,24780051
PIPA2,Pinus palustris,longleaf pine,USDA 1929 (580),74,74,74,86,86,86,17728609,24780052
PITA,Pinus taeda,loblolly pine,"Coile, Schumacher 1953 (690)",86,86,86,129,129,129,17728609,24780053
